Timestamp,Consent,Your Role,Prior XR Experience,"Compared to traditional slides, this XR presentation style feels more engaging","I can see practical use cases for this style in my domain (teaching, demos, training, etc.)",Live generation of 2D/3D content during presentation adds value,Most Promising Use Cases? (Select all that apply),Main Concerns or Barriers (Select all that apply),Would you be interested in using or testing this presentation style?,Open feedback: What would make this approach more useful or trustworthy?
3/11/2026 2:45:40,I agree to participate in this anonymous survey.,Industry Professional,None,5,5,5,"Education/Classroom Teaching, Product Demos/Marketing","Latency/Performance, Hardware Cost/Accessibility, Content Accuracy/Reliability, Ethical/IP concerns for AI-Generated Assets",Yes,
3/11/2026 2:50:29,I agree to participate in this anonymous survey.,Student,None,5,5,5,"Education/Classroom Teaching, Research Presentations, Product Demos/Marketing, Museum/Cultural Storytelling, Technical Training/Simulation, Collaborative Brainstorming","Latency/Performance, Hardware Cost/Accessibility",Yes,
3/11/2026 2:52:48,I agree to participate in this anonymous survey.,Student,Beginner,5,5,5,"Education/Classroom Teaching, Research Presentations, Technical Training/Simulation, Collaborative Brainstorming","Latency/Performance, Hardware Cost/Accessibility, Content Accuracy/Reliability",Yes,University wide acceptance of VR programs
3/11/2026 3:05:32,I agree to participate in this anonymous survey.,Researcher/Academic,None,4,4,4,"Education/Classroom Teaching, Product Demos/Marketing, Technical Training/Simulation","Latency/Performance, Hardware Cost/Accessibility, Content Accuracy/Reliability, Ethical/IP concerns for AI-Generated Assets",Maybe,
3/11/2026 3:06:49,I agree to participate in this anonymous survey.,Industry Professional,Beginner,5,5,5,"Education/Classroom Teaching, Product Demos/Marketing, Technical Training/Simulation",Learning Curve for Presenters,Yes,
3/11/2026 3:24:49,I agree to participate in this anonymous survey.,Researcher/Academic,None,5,5,4,"Education/Classroom Teaching, Product Demos/Marketing, Museum/Cultural Storytelling, Technical Training/Simulation","Content Accuracy/Reliability, Learning Curve for Presenters",Yes,
3/11/2026 6:07:39,I agree to participate in this anonymous survey.,Student,Beginner,4,4,2,"Education/Classroom Teaching, Research Presentations, Product Demos/Marketing, Museum/Cultural Storytelling, Technical Training/Simulation","Latency/Performance, Hardware Cost/Accessibility, Content Accuracy/Reliability, Ethical/IP concerns for AI-Generated Assets",Maybe,
3/11/2026 7:09:35,I agree to participate in this anonymous survey.,Student,None,2,4,2,"Product Demos/Marketing, Museum/Cultural Storytelling","Latency/Performance, Hardware Cost/Accessibility, Audience Comfort/Usability",Yes,
3/11/2026 7:25:33,I agree to participate in this anonymous survey.,Student,Beginner,3,4,4,"Education/Classroom Teaching, Research Presentations, Product Demos/Marketing, Museum/Cultural Storytelling, Technical Training/Simulation, Collaborative Brainstorming","Latency/Performance, Content Accuracy/Reliability",Yes,
3/11/2026 7:51:31,I agree to participate in this anonymous survey.,Educator,Intermediate,5,5,5,"Education/Classroom Teaching, Product Demos/Marketing, Museum/Cultural Storytelling, Collaborative Brainstorming","Latency/Performance, Hardware Cost/Accessibility, Learning Curve for Presenters, Audience Comfort/Usability",Yes,
3/11/2026 10:10:20,I agree to participate in this anonymous survey.,Student,Intermediate,5,5,5,"Research Presentations, Product Demos/Marketing, Technical Training/Simulation","Latency/Performance, Hardware Cost/Accessibility, Audience Comfort/Usability",Yes,
3/11/2026 10:11:03,I agree to participate in this anonymous survey.,Industry Professional,Beginner,5,4,5,"Education/Classroom Teaching, Research Presentations, Product Demos/Marketing, Museum/Cultural Storytelling, Technical Training/Simulation, Collaborative Brainstorming, Architectural planning, and surgery planning (e.g. walk through a surgery before performing it)","Latency/Performance, Hardware Cost/Accessibility, Content Accuracy/Reliability",Yes,"This will be more trustworthy with local models and strong statements prohibiting telemetry.  A clause I would like to see is: 'This application sports zero-data retention, and zero data retention agreements are in place with any LLM providers used to generate models or other components. Furthermore, abuse monitoring programs have been opted out of to prevent human manual review of sensitive private data. Additionally, no derivative data sets will be collected or created based on usage of the service (e.g., aggregated, anonymized, or de-identified datasets).'"
3/11/2026 10:27:45,I agree to participate in this anonymous survey.,Student,Intermediate,4,5,5,"Education/Classroom Teaching, Product Demos/Marketing, Museum/Cultural Storytelling, Technical Training/Simulation","Latency/Performance, Content Accuracy/Reliability, Ethical/IP concerns for AI-Generated Assets",Yes,
3/11/2026 11:03:30,I agree to participate in this anonymous survey.,Researcher/Academic,None,5,5,5,"Education/Classroom Teaching, Research Presentations, Product Demos/Marketing, Technical Training/Simulation","Learning Curve for Presenters, Audience Comfort/Usability",Yes,
3/11/2026 14:01:15,I agree to participate in this anonymous survey.,Student,Beginner,3,3,2,"Education/Classroom Teaching, Product Demos/Marketing",Learning Curve for Presenters,Maybe,
3/11/2026 20:29:53,I agree to participate in this anonymous survey.,Student,Beginner,5,5,5,"Education/Classroom Teaching, Research Presentations, Product Demos/Marketing, Building Prototypes",Hardware Cost/Accessibility,Yes,
3/15/2026 1:38:03,I agree to participate in this anonymous survey.,Student,None,4,4,5,"Education/Classroom Teaching, Research Presentations, Product Demos/Marketing, Museum/Cultural Storytelling, Technical Training/Simulation, Collaborative Brainstorming","Latency/Performance, Hardware Cost/Accessibility, Content Accuracy/Reliability",Yes,
3/15/2026 17:31:19,I agree to participate in this anonymous survey.,Researcher/Academic,Intermediate,5,5,5,"Education/Classroom Teaching, Research Presentations, Technical Training/Simulation",Hardware Cost/Accessibility,Yes,
3/17/2026 14:55:53,I agree to participate in this anonymous survey.,Student,Beginner,5,5,5,"Education/Classroom Teaching, Research Presentations, Product Demos/Marketing, Museum/Cultural Storytelling, Technical Training/Simulation, Collaborative Brainstorming","Latency/Performance, Hardware Cost/Accessibility, Audience Comfort/Usability",Yes,
3/19/2026 21:19:59,I agree to participate in this anonymous survey.,Student,None,4,4,5,"Education/Classroom Teaching, Research Presentations, Product Demos/Marketing, Museum/Cultural Storytelling","Latency/Performance, Learning Curve for Presenters, Ethical/IP concerns for AI-Generated Assets",Yes,
3/23/2026 11:59:04,I agree to participate in this anonymous survey.,Researcher/Academic,Advanced,1,3,5,"Education/Classroom Teaching, Product Demos/Marketing, Technical Training/Simulation, Collaborative Brainstorming",Latency/Performance,Maybe,
3/23/2026 12:04:25,I agree to participate in this anonymous survey.,Researcher/Academic,Intermediate,4,4,4,"Research Presentations, Product Demos/Marketing, Museum/Cultural Storytelling, Technical Training/Simulation",Content Accuracy/Reliability,Yes,
3/23/2026 12:31:31,I agree to participate in this anonymous survey.,Researcher/Academic,Advanced,3,3,4,"Education/Classroom Teaching, Product Demos/Marketing","Latency/Performance, Content Accuracy/Reliability, Audience Comfort/Usability, Ethical/IP concerns for AI-Generated Assets",Yes,
3/23/2026 13:01:03,I agree to participate in this anonymous survey.,Researcher/Academic,Advanced,4,4,5,"Education/Classroom Teaching, Product Demos/Marketing, Museum/Cultural Storytelling",Latency/Performance,Yes,
3/23/2026 13:48:23,I agree to participate in this anonymous survey.,Educator,Advanced,4,4,5,"Education/Classroom Teaching, Museum/Cultural Storytelling, Collaborative Brainstorming","Latency/Performance, Content Accuracy/Reliability",Yes,nice direction the interaction can be better developed. 
3/23/2026 15:36:43,I agree to participate in this anonymous survey.,Researcher/Academic,Advanced,4,4,4,Collaborative Brainstorming,Hardware Cost/Accessibility,Yes,"Embed it in a more structured story telling/environment
Improve user feedback "
3/23/2026 15:53:02,I agree to participate in this anonymous survey.,Researcher/Academic,Advanced,4,4,4,"Education/Classroom Teaching, Museum/Cultural Storytelling, Collaborative Brainstorming","Latency/Performance, Content Accuracy/Reliability",Maybe,A GUI to help the object management and display
3/23/2026 15:53:15,I agree to participate in this anonymous survey.,Researcher/Academic,Advanced,3,4,4,"Education/Classroom Teaching, Product Demos/Marketing, Museum/Cultural Storytelling, Collaborative Brainstorming",Ethical/IP concerns for AI-Generated Assets,Maybe,
3/24/2026 13:20:22,I agree to participate in this anonymous survey.,Industry Professional,Advanced,4,2,3,Collaborative Brainstorming,"Latency/Performance, Content Accuracy/Reliability",Maybe,There could be other usecases where they need to generate various low quality 3d model during ideation.
3/24/2026 13:24:02,I agree to participate in this anonymous survey.,Researcher/Academic,Advanced,4,4,5,"Product Demos/Marketing, Technical Training/Simulation",Audience Comfort/Usability,Yes,Better (more standard) manipulation tecniques
3/24/2026 15:54:59,I agree to participate in this anonymous survey.,Student,Advanced,4,4,4,"Education/Classroom Teaching, Product Demos/Marketing, Museum/Cultural Storytelling","Latency/Performance, Content Accuracy/Reliability, Learning Curve for Presenters",Yes,Extra checks between text creation to image production to ensure that complex images are accurately created by the AI.
